client_slug,client_title,cluster,moment,protocol_posture,duty_critical,safety_flag,uhnw_travel_relevant,core_protocol_grades
olympic_elite_athletes,Olympic / Elite Athletes,C — Sport / Performance / Duty,Heat final day,Sports-med cooling only; gentle nasal/exhale breath — no WHM-style extremes,varies,heat_cold_breath,maybe,Pre-Performance Routine[B]; Centering (Ravizza-Style)[C]; PETTLEP / Process Imagery[B]; Cognitive Reappraisal[A]; Morning Outdoor Light Timing[A]
olympic_elite_athletes,Olympic / Elite Athletes,C — Sport / Performance / Duty,Post-result crash,Affect label + self-distancing + social micro-connection; clinical if prolonged,varies,standard,maybe,Pre-Performance Routine[B]; Centering (Ravizza-Style)[C]; PETTLEP / Process Imagery[B]; Cognitive Reappraisal[A]; Morning Outdoor Light Timing[A]
combat_motorsport_athletes,Combat & Motorsport Athletes,C — Sport / Performance / Duty,Weigh-in / face-off,Tactical breath + reappraisal + values — separate from medical cut,yes,heat_cold_breath,maybe,Pre-Performance Routine[B]; Box Breathing / Tactical Breath Reset[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]
combat_motorsport_athletes,Combat & Motorsport Athletes,C — Sport / Performance / Duty,Cage / corner / grid,PPR + external focus (apex/hip/glove) — not hostile cue words,yes,heat_cold_breath,maybe,Pre-Performance Routine[B]; Box Breathing / Tactical Breath Reset[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]
combat_motorsport_athletes,Combat & Motorsport Athletes,C — Sport / Performance / Duty,Between rounds / stops,1–2 physiological sighs + next-action cue,yes,heat_cold_breath,maybe,Pre-Performance Routine[B]; Box Breathing / Tactical Breath Reset[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]
combat_motorsport_athletes,Combat & Motorsport Athletes,C — Sport / Performance / Duty,Post adrenaline dump,Exhale pacing + PMR + wind-down + sleep rails,varies,heat_cold_breath,maybe,Pre-Performance Routine[B]; Box Breathing / Tactical Breath Reset[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]
combat_motorsport_athletes,Combat & Motorsport Athletes,C — Sport / Performance / Duty,Heat cockpit / humid venue,Sports-med cooling first; gentle nasal breathing only,yes,heat_cold_breath,maybe,Pre-Performance Routine[B]; Box Breathing / Tactical Breath Reset[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]
combat_motorsport_athletes,Combat & Motorsport Athletes,C — Sport / Performance / Duty,Travel + media day,Task buffers + sigh resets between media and training,varies,heat_cold_breath,yes,Pre-Performance Routine[B]; Box Breathing / Tactical Breath Reset[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]
team_sport_athletes,Team Sport Athletes,C — Sport / Performance / Duty,Sudden bench entry,Micro-PPR + centering on walk-on,yes,standard,maybe,Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Centering (Ravizza-Style)[C]; Cyclic Sighing / Acute Physiological Sigh[B]; PETTLEP / Process Imagery[B]
team_sport_athletes,Team Sport Athletes,C — Sport / Performance / Duty,Penalty / set piece,Full identical PPR + external/quiet-eye-like focus per coaching,yes,standard,maybe,Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Centering (Ravizza-Style)[C]; Cyclic Sighing / Acute Physiological Sigh[B]; PETTLEP / Process Imagery[B]
team_sport_athletes,Team Sport Athletes,C — Sport / Performance / Duty,Halftime,Affect label + team process cue; personal sigh if needed,yes,standard,maybe,Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Centering (Ravizza-Style)[C]; Cyclic Sighing / Acute Physiological Sigh[B]; PETTLEP / Process Imagery[B]
team_sport_athletes,Team Sport Athletes,C — Sport / Performance / Duty,Overnight bus/plane,Nap rules + mask/earplugs + caffeine strategy,varies,standard,maybe,Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Centering (Ravizza-Style)[C]; Cyclic Sighing / Acute Physiological Sigh[B]; PETTLEP / Process Imagery[B]
team_sport_athletes,Team Sport Athletes,C — Sport / Performance / Duty,After own error,Self-distancing + next-play if–then; tactical review later,varies,standard,maybe,Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Centering (Ravizza-Style)[C]; Cyclic Sighing / Acute Physiological Sigh[B]; PETTLEP / Process Imagery[B]
team_sport_athletes,Team Sport Athletes,C — Sport / Performance / Duty,Derby week media,Reappraisal + worry-postpone + sleep rails,varies,standard,maybe,Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Centering (Ravizza-Style)[C]; Cyclic Sighing / Acute Physiological Sigh[B]; PETTLEP / Process Imagery[B]
coaches_sports_execs,Coaches & Sports Executives,C — Sport / Performance / Duty,Sideline critical call,If time: sigh/exhale + affect label + game-model question; skip if no time,yes,standard,maybe,Cognitive Reappraisal[A]; Affect Labeling[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Implementation Intentions (If–Then Plans)[A]
coaches_sports_execs,Coaches & Sports Executives,C — Sport / Performance / Duty,Post-loss presser,Reappraisal + values + defer deep analysis; if–then talking points,yes,standard,maybe,Cognitive Reappraisal[A]; Affect Labeling[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Implementation Intentions (If–Then Plans)[A]
coaches_sports_execs,Coaches & Sports Executives,C — Sport / Performance / Duty,Film marathon,Pomodoro/ultradian breaks + ART micro-breaks,yes,standard,maybe,Cognitive Reappraisal[A]; Affect Labeling[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Implementation Intentions (If–Then Plans)[A]
coaches_sports_execs,Coaches & Sports Executives,C — Sport / Performance / Duty,Board confrontation,WOOP + if–then messages + morning light/exercise same day,varies,standard,maybe,Cognitive Reappraisal[A]; Affect Labeling[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Implementation Intentions (If–Then Plans)[A]
coaches_sports_execs,Coaches & Sports Executives,C — Sport / Performance / Duty,Off-season planning,Sleep consistency + exercise + coherent breathing,varies,standard,maybe,Cognitive Reappraisal[A]; Affect Labeling[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Implementation Intentions (If–Then Plans)[A]
coaches_sports_execs,Coaches & Sports Executives,C — Sport / Performance / Duty,Travel road trip,Jet-lag pack + task-switch buffers,varies,standard,yes,Cognitive Reappraisal[A]; Affect Labeling[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Implementation Intentions (If–Then Plans)[A]
actors_performing_artists,Actors & Performing Artists,C — Sport / Performance / Duty,Audition holding room,Exhale pacing or sighs + 5-4-3-2-1 + process intention (listen/truth) — not 'book it',yes,standard,yes,Cyclic Sighing / Acute Physiological Sigh[B]; 5-4-3-2-1 Sensory Grounding[C]; Pre-Performance Routine[B]; Cognitive Reappraisal[A]; Affect Labeling[B]
actors_performing_artists,Actors & Performing Artists,C — Sport / Performance / Duty,Pre-curtain / slate,PPR: breath + intention + first-line cue,yes,standard,yes,Cyclic Sighing / Acute Physiological Sigh[B]; 5-4-3-2-1 Sensory Grounding[C]; Pre-Performance Routine[B]; Cognitive Reappraisal[A]; Affect Labeling[B]
actors_performing_artists,Actors & Performing Artists,C — Sport / Performance / Duty,After heavy scene,De-role: name self + eyes-open ground + brief PMR; no cathartic hyperventilation,yes,standard,yes,Cyclic Sighing / Acute Physiological Sigh[B]; 5-4-3-2-1 Sensory Grounding[C]; Pre-Performance Routine[B]; Cognitive Reappraisal[A]; Affect Labeling[B]
actors_performing_artists,Actors & Performing Artists,C — Sport / Performance / Duty,Night shoot block,Circadian strategy + nap rules + caffeine discipline,varies,standard,yes,Cyclic Sighing / Acute Physiological Sigh[B]; 5-4-3-2-1 Sensory Grounding[C]; Pre-Performance Routine[B]; Cognitive Reappraisal[A]; Affect Labeling[B]
actors_performing_artists,Actors & Performing Artists,C — Sport / Performance / Duty,Premiere red carpet,Reappraisal + micro social + sigh,varies,standard,yes,Cyclic Sighing / Acute Physiological Sigh[B]; 5-4-3-2-1 Sensory Grounding[C]; Pre-Performance Routine[B]; Cognitive Reappraisal[A]; Affect Labeling[B]
actors_performing_artists,Actors & Performing Artists,C — Sport / Performance / Duty,Festival circuit travel,Jet-lag light pack + suite NSDR/PMR + media reappraisal,varies,standard,yes,Cyclic Sighing / Acute Physiological Sigh[B]; 5-4-3-2-1 Sensory Grounding[C]; Pre-Performance Routine[B]; Cognitive Reappraisal[A]; Affect Labeling[B]
musicians_dancers,Musicians & Dancers,C — Sport / Performance / Duty,Green room / wing,Coherent or exhale breath + PPR entry cue,yes,standard,yes,Coherent / Resonance Breathing (~6/min)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Progressive Muscle Relaxation[B]; Cognitive Reappraisal[A]
musicians_dancers,Musicians & Dancers,C — Sport / Performance / Duty,Feared passage practice,Exposure ladder mid-low → coping breath + PPR → progress by SUDS,yes,standard,yes,Coherent / Resonance Breathing (~6/min)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Progressive Muscle Relaxation[B]; Cognitive Reappraisal[A]
musicians_dancers,Musicians & Dancers,C — Sport / Performance / Duty,Tour bus overnight,Nap protocol + earplugs + caffeine cutoff,yes,standard,yes,Coherent / Resonance Breathing (~6/min)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Progressive Muscle Relaxation[B]; Cognitive Reappraisal[A]
musicians_dancers,Musicians & Dancers,C — Sport / Performance / Duty,Injury layoff,Process imagery cleared + BA tiny + values; physio owns return,varies,medical_clearance,yes,Coherent / Resonance Breathing (~6/min)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Progressive Muscle Relaxation[B]; Cognitive Reappraisal[A]
musicians_dancers,Musicians & Dancers,C — Sport / Performance / Duty,Panel audition,Reappraisal + grounding + short PPR,varies,standard,yes,Coherent / Resonance Breathing (~6/min)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Progressive Muscle Relaxation[B]; Cognitive Reappraisal[A]
musicians_dancers,Musicians & Dancers,C — Sport / Performance / Duty,Post-show comedown,PMR + wind-down + sleep rails,varies,standard,yes,Coherent / Resonance Breathing (~6/min)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Progressive Muscle Relaxation[B]; Cognitive Reappraisal[A]
public_speakers_creators,Public Speakers & Creators,C — Sport / Performance / Duty,Backstage keynote,PPR + quiet sigh/tactical breath + first-line cue,yes,standard,maybe,Pre-Performance Routine[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]; WOOP[A]
public_speakers_creators,Public Speakers & Creators,C — Sport / Performance / Duty,Go-live countdown,Short box/tactical + audience-serve cue,yes,standard,maybe,Pre-Performance Routine[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]; WOOP[A]
public_speakers_creators,Public Speakers & Creators,C — Sport / Performance / Duty,Post-viral pile-on,Affect label + distancing + postpone-reply if–then,yes,standard,maybe,Pre-Performance Routine[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]; WOOP[A]
public_speakers_creators,Public Speakers & Creators,C — Sport / Performance / Duty,Editing marathon,Ultradian/Pomodoro + ART + exercise,varies,standard,maybe,Pre-Performance Routine[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]; WOOP[A]
public_speakers_creators,Public Speakers & Creators,C — Sport / Performance / Duty,Airport → stage same day,Light timing + 10m coherent/sigh + micro-PPR,varies,standard,maybe,Pre-Performance Routine[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]; WOOP[A]
public_speakers_creators,Public Speakers & Creators,C — Sport / Performance / Duty,Launch week,WOOP + metrics if–then + coherent daily,varies,standard,maybe,Pre-Performance Routine[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Cognitive Reappraisal[A]; Implementation Intentions (If–Then Plans)[A]; WOOP[A]
political_public_officials,Political & Public Officials,C — Sport / Performance / Duty,Pre-debate green room,Exhale pacing + PPR first-answer cue + values,yes,standard,maybe,Cognitive Reappraisal[A]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Scheduled Worry / Postpone Worry[B]
political_public_officials,Political & Public Officials,C — Sport / Performance / Duty,Ambush media,Label + one quiet breath + bridge if–then,yes,standard,maybe,Cognitive Reappraisal[A]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Scheduled Worry / Postpone Worry[B]
political_public_officials,Political & Public Officials,C — Sport / Performance / Duty,Late-night session/vote,Caffeine strategy + micro-walk; no long holds,yes,standard,maybe,Cognitive Reappraisal[A]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Scheduled Worry / Postpone Worry[B]
political_public_officials,Political & Public Officials,C — Sport / Performance / Duty,Post-attack news cycle,Worry-postpone with staff review window + distancing + light hygiene,varies,standard,maybe,Cognitive Reappraisal[A]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Scheduled Worry / Postpone Worry[B]
political_public_officials,Political & Public Officials,C — Sport / Performance / Duty,Campaign red-eye,Jet-lag pack careful + nap rules,varies,standard,yes,Cognitive Reappraisal[A]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Scheduled Worry / Postpone Worry[B]
political_public_officials,Political & Public Officials,C — Sport / Performance / Duty,Ethics stress peak,Values + EAP/clinical referral if needed — not protocol theater,varies,heat_cold_breath,maybe,Cognitive Reappraisal[A]; Cyclic Sighing / Acute Physiological Sigh[B]; Pre-Performance Routine[B]; Implementation Intentions (If–Then Plans)[A]; Scheduled Worry / Postpone Worry[B]
diplomats,Diplomats,C — Sport / Performance / Duty,Land → meeting <12h,Light timing + nap strategy + 10m coherent/sigh; mission transport if impaired,yes,standard,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Fixed Wake-Time Sleep Schedule[B]; Caffeine Timing Cutoff[B]
diplomats,Diplomats,C — Sport / Performance / Duty,Hard negotiation block,Micro sigh + interest-based aim cue + ART break if protocol allows,yes,standard,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Fixed Wake-Time Sleep Schedule[B]; Caffeine Timing Cutoff[B]
diplomats,Diplomats,C — Sport / Performance / Duty,Protocol banquet late,Earlier caffeine cutoff; exit strategies; wind-down after,yes,standard,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Fixed Wake-Time Sleep Schedule[B]; Caffeine Timing Cutoff[B]
diplomats,Diplomats,C — Sport / Performance / Duty,Crisis cable night,Tactical breath + if–then triage; later shutdown — EAP if trauma,varies,standard,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Fixed Wake-Time Sleep Schedule[B]; Caffeine Timing Cutoff[B]
diplomats,Diplomats,C — Sport / Performance / Duty,Home leave re-entry,BA tiny + social connection + sleep consistency,varies,standard,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Fixed Wake-Time Sleep Schedule[B]; Caffeine Timing Cutoff[B]
diplomats,Diplomats,C — Sport / Performance / Duty,Hardship tour steady week,Daily coherent + exercise + worry postpone + EAP awareness,varies,standard,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Fixed Wake-Time Sleep Schedule[B]; Caffeine Timing Cutoff[B]
military_special_ops_adjacent,Military / Special Ops Adjacent (Public OSINT Only),C — Sport / Performance / Duty,SCOPE CHECK,Public performance psych only — no tactics/classified. If request crosses line → refuse and redirect to official channels.,yes,trauma_informed,maybe,Mindfulness of Breath[B]; Body Scan (MBSR Element)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Coherent / Resonance Breathing (~6/min)[B]
military_special_ops_adjacent,Military / Special Ops Adjacent (Public OSINT Only),C — Sport / Performance / Duty,Pre-deployment ramp,Authorized public MT course themes + sleep protect + exercise + EAP awareness,yes,trauma_informed,maybe,Mindfulness of Breath[B]; Body Scan (MBSR Element)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Coherent / Resonance Breathing (~6/min)[B]
military_special_ops_adjacent,Military / Special Ops Adjacent (Public OSINT Only),C — Sport / Performance / Duty,High-demand training day (garrison),Tactical breath micro + task focus cues — no novel extreme protocols,yes,trauma_informed,maybe,Mindfulness of Breath[B]; Body Scan (MBSR Element)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Coherent / Resonance Breathing (~6/min)[B]
military_special_ops_adjacent,Military / Special Ops Adjacent (Public OSINT Only),C — Sport / Performance / Duty,Post-ex hyperarousal,Exhale pacing + PMR + wind-down; schedule debrief; no alcohol-first,varies,trauma_informed,maybe,Mindfulness of Breath[B]; Body Scan (MBSR Element)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Coherent / Resonance Breathing (~6/min)[B]
military_special_ops_adjacent,Military / Special Ops Adjacent (Public OSINT Only),C — Sport / Performance / Duty,Reintegration week,Values + BA tiny + social connection; clinical path if PTSD symptoms,varies,trauma_informed,maybe,Mindfulness of Breath[B]; Body Scan (MBSR Element)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Coherent / Resonance Breathing (~6/min)[B]
military_special_ops_adjacent,Military / Special Ops Adjacent (Public OSINT Only),C — Sport / Performance / Duty,Sleep-deprived duty night,Caffeine per regs; nap if authorized; report unfit per policy — never breathe away microsleep risk,yes,trauma_informed,maybe,Mindfulness of Breath[B]; Body Scan (MBSR Element)[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Coherent / Resonance Breathing (~6/min)[B]
emergency_responders,Emergency Responders,C — Sport / Performance / Duty,En route to call,Short tactical breath + task cue — stay sharp; SOPs first,yes,trauma_informed,maybe,5-4-3-2-1 Sensory Grounding[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Affect Labeling[B]; Brief Nap Protocol (10–20 min)[B]
emergency_responders,Emergency Responders,C — Sport / Performance / Duty,After critical incident,Eyes-open grounding; gentle exhales optional; defer intense interoception; follow EAP/CISM,yes,trauma_informed,maybe,5-4-3-2-1 Sensory Grounding[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Affect Labeling[B]; Brief Nap Protocol (10–20 min)[B]
emergency_responders,Emergency Responders,C — Sport / Performance / Duty,End of night shift,Light/sleep strategy home; caffeine stop; protect sleep opportunity,yes,trauma_informed,maybe,5-4-3-2-1 Sensory Grounding[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Affect Labeling[B]; Brief Nap Protocol (10–20 min)[B]
emergency_responders,Emergency Responders,C — Sport / Performance / Duty,Court / testimony day,PPR + reappraisal,varies,trauma_informed,maybe,5-4-3-2-1 Sensory Grounding[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Affect Labeling[B]; Brief Nap Protocol (10–20 min)[B]
emergency_responders,Emergency Responders,C — Sport / Performance / Duty,Off-duty hypervigilance,Nature ART + exercise + family values cue,yes,trauma_informed,maybe,5-4-3-2-1 Sensory Grounding[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Affect Labeling[B]; Brief Nap Protocol (10–20 min)[B]
emergency_responders,Emergency Responders,C — Sport / Performance / Duty,Post-critical week,EAP engagement | gentle exercise | social connection | skip intense breath workshops,varies,trauma_informed,maybe,5-4-3-2-1 Sensory Grounding[C]; Cyclic Sighing / Acute Physiological Sigh[B]; Box Breathing / Tactical Breath Reset[C]; Affect Labeling[B]; Brief Nap Protocol (10–20 min)[B]
pilots_aviation,Pilots & Aviation Professionals,C — Sport / Performance / Duty,Report fatigued,Honest report per policy — no heroics; wellness does not override,yes,fatigue_ftl_frms,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Brief Nap Protocol (10–20 min)[B]; Caffeine Timing Cutoff[B]
pilots_aviation,Pilots & Aviation Professionals,C — Sport / Performance / Duty,Ultra-long-haul cruise,Approved controlled rest if any; caffeine strategy; CRM — SOPs first,yes,fatigue_ftl_frms,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Brief Nap Protocol (10–20 min)[B]; Caffeine Timing Cutoff[B]
pilots_aviation,Pilots & Aviation Professionals,C — Sport / Performance / Duty,Short layover,Dark cool sleep priority; light plan; no alcohol-as-sleep; off-duty sigh/PMR after sleep secured,yes,fatigue_ftl_frms,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Brief Nap Protocol (10–20 min)[B]; Caffeine Timing Cutoff[B]
pilots_aviation,Pilots & Aviation Professionals,C — Sport / Performance / Duty,Go-around / abnormal,Trained SOP first; off-duty downshift later,yes,fatigue_ftl_frms,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Brief Nap Protocol (10–20 min)[B]; Caffeine Timing Cutoff[B]
pilots_aviation,Pilots & Aviation Professionals,C — Sport / Performance / Duty,Bizav owner pressure,If–then: cite FTL/ops; protect cert and safety,yes,fatigue_ftl_frms,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Brief Nap Protocol (10–20 min)[B]; Caffeine Timing Cutoff[B]
pilots_aviation,Pilots & Aviation Professionals,C — Sport / Performance / Duty,Home base recovery night,Wind-down + dim + fixed wake toward next roster,varies,fatigue_ftl_frms,yes,Jet Lag Light ± Melatonin Timing (Careful)[B]; Morning Outdoor Light Timing[A]; Evening Light Hygiene[B]; Brief Nap Protocol (10–20 min)[B]; Caffeine Timing Cutoff[B]
hospital_executives,Hospital Executives,C — Sport / Performance / Duty,Code/crisis command,SOP/command first; after: labeled downshift + EAP path if needed,yes,standard,maybe,Cognitive Reappraisal[A]; Self-Distancing Reflection[B]; Scheduled Worry / Postpone Worry[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Coherent / Resonance Breathing (~6/min)[B]
hospital_executives,Hospital Executives,C — Sport / Performance / Duty,Hostile board meeting,WOOP + PPR open + reappraisal,yes,standard,maybe,Cognitive Reappraisal[A]; Self-Distancing Reflection[B]; Scheduled Worry / Postpone Worry[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Coherent / Resonance Breathing (~6/min)[B]
hospital_executives,Hospital Executives,C — Sport / Performance / Duty,After sentinel event,EAP/peer; grounding; not alone rumination; formal review paths remain,yes,standard,maybe,Cognitive Reappraisal[A]; Self-Distancing Reflection[B]; Scheduled Worry / Postpone Worry[B]; Cyclic Sighing / Acute Physiological Sigh[B]; Coherent / Resonance Breathing (~6/min)[B]
